DATASET,fold,AM,alpha,features,accuracy,sensitivity,specificity
tcga.R-BRCA,4,pearson_correlation,0.85,"1567,7335,4211,857,3182,14065,6285,5942,2825,8523,22071,13818,42436,1980,9511,13364,2917,10671,24081,499,11549,151,1689,6804,17414,7179,10522,10433,8426,17316,15409,7944,10571,15411,20324,16198,11765,10749,8456,493,20205,2762,2095,4349,12082,6326,4747,5280,12116,8374,22172,4746,1661,1194,15710,19821",0.9868421052631579,0.9927536231884058,0.9285714285714286
tcga.R-BRCA,4,pearson_correlation,0.9,"1567,7335,4211,857,3182,14065,6285,5942,2825,8523,22071,13818,42436,1980,9511,13364,2917,10671,24081,499,11549,151,1689,6804,17414,7179,10522,10433,8426,17316,15409,7944,10571,15411,20324,16198,11765,10749,8456,493,20205,2762,2095,4349,12082,6326,4747,5280,12116,8374,22172,4746,1661,1194,15710,19821",0.9868421052631579,0.9927536231884058,0.9285714285714286
tcga.R-BRCA,6,PC,0.1,"16360,42405,55768,52687,50592,27437,14004,39126,39355,49524,35425,40889,52224,30342,38209,39450,36660,26768,20453,37663,53130,29278,48627,23361,14007,46214,45843,30124,35816,37692,53025,39384,51436,39622,54724,38568,46662,41095,35621,49475,50053,17997,38126,35437,32798,43915,26817,25298,47754,32814,45162,17215,30758,56367,47202,48302,45340,29702,12332,44106,34260,30967,45669,42663,33848,39715,29203,46115,33079,39618,15135,31819,25400,28577,55967,24799,16773,30764,28404,31548,15830,15140,20782,28429,32820,35216,48199,26974,35245,32150,49933,41927,37664,41847,41422,17576,24859,5022,15693",0.9868421052631579,0.9927007299270073,0.9333333333333333
tcga.R-BRCA,6,PC,0.15,"16360,42405,55768,52687,50592,27437,14004,39126,39355,49524,35425,40889,52224,30342,38209,39450,36660,26768,20453,37663,53130,29278,48627,23361,14007,46214,45843,30124,35816,37692,53025,39384,51436,39622,54724,38568,46662,41095,35621,49475,50053,17997,38126,35437,32798,43915,26817,25298,47754,32814,45162,17215,30758,56367,47202,48302,45340,29702,12332,44106,34260,30967,45669,42663,33848,39715,29203,46115,33079,39618,15135,31819,25400,28577,55967,24799,16773,30764,28404,31548,15830,15140,20782,28429,32820,35216,48199,26974,35245,32150,49933,41927,37664,41847,41422,17576,24859,5022,15693",0.9868421052631579,0.9927007299270073,0.9333333333333333
tcga.R-BRCA,6,PC,0.2,"16360,42405,55768,52687,50592,27437,14004,39126,39355,49524,35425,40889,52224,30342,38209,39450,36660,26768,20453,37663,53130,29278,48627,23361,14007,46214,45843,30124,35816,37692,53025,39384,51436,39622,54724,38568,46662,41095,35621,49475,50053,17997,38126,35437,32798,43915,26817,25298,47754,32814,45162,17215,30758,56367,47202,48302,45340,29702,12332,44106,34260,30967,45669,42663,33848,39715,29203,46115,33079,39618,15135,31819,25400,28577,55967,24799,16773,30764,28404,31548,15830,15140,20782,28429,32820,35216,48199,26974,35245,32150,49933,41927,37664,41847,41422,17576,24859,5022,15693",0.993421052631579,0.9927007299270073,1.0
tcga.R-BRCA,6,PC,0.25,"16360,42405,55768,52687,50592,27437,14004,39126,39355,49524,35425,40889,52224,30342,38209,39450,36660,26768,20453,37663,53130,29278,48627,23361,14007,46214,45843,30124,35816,37692,53025,39384,51436,39622,54724,38568,46662,41095,35621,49475,50053,17997,38126,35437,32798,43915,26817,25298,47754,32814,45162,17215,30758,56367,47202,48302,45340,29702,12332,44106,34260,30967,45669,42663,33848,39715,29203,46115,33079,39618,15135,31819,25400,28577,55967,24799,16773,30764,28404,31548,15830,15140,20782,28429,32820,35216,48199,26974,35245,32150,49933,41927,37664,41847,41422,17576,24859,5022,15693",0.993421052631579,0.9927007299270073,1.0
tcga.R-BRCA,6,PC,0.3,"16360,42405,55768,52687,50592,27437,14004,39126,39355,49524,35425,40889,52224,30342,38209,39450,36660,26768,20453,37663,53130,29278,48627,23361,14007,46214,45843,30124,35816,37692,53025,39384,51436,39622,54724,38568,46662,41095,35621,49475,50053,17997,38126,35437,32798,43915,26817,25298,47754,32814,45162,17215,30758,56367,47202,48302,45340,29702,12332,44106,34260,30967,45669,42663,33848,39715,29203,46115,33079,39618,15135,31819,25400,28577,55967,24799,16773,30764,28404,31548,15830,15140,20782,28429,32820,35216,48199,26974,35245,32150,49933,41927,37664,41847,41422,17576,24859,5022,15693",0.993421052631579,0.9927007299270073,1.0
tcga.R-BRCA,6,PC,0.35,"16360,42405,55768,52687,50592,27437,14004,39126,39355,49524,35425,40889,52224,30342,38209,39450,36660,26768,20453,37663,53130,29278,48627,23361,14007,46214,45843,30124,35816,37692,53025,39384,51436,39622,54724,38568,46662,41095,35621,49475,50053,17997,38126,35437,32798,43915,26817,25298,47754,32814,45162,17215,30758,56367,47202,48302,45340,29702,12332,44106,34260,30967,45669,42663,33848,39715,29203,46115,33079,39618,15135,31819,25400,28577,55967,24799,16773,30764,28404,31548,15830,15140,20782,28429,32820,35216,48199,26974,35245,32150,49933,41927,37664,41847,41422,17576,24859,5022,15693",0.993421052631579,0.9927007299270073,1.0
tcga.R-BRCA,6,PC,0.4,"16360,42405,55768,52687,50592,27437,14004,39126,39355,49524,35425,40889,52224,30342,38209,39450,36660,26768,20453,37663,53130,29278,48627,23361,14007,46214,45843,30124,35816,37692,53025,39384,51436,39622,54724,38568,46662,41095,35621,49475,50053,17997,38126,35437,32798,43915,26817,25298,47754,32814,45162,17215,30758,56367,47202,48302,45340,29702,12332,44106,34260,30967,45669,42663,33848,39715,29203,46115,33079,39618,15135,31819,25400,28577,55967,24799,16773,30764,28404,31548,15830,15140,20782,28429,32820,35216,48199,26974,35245,32150,49933,41927,37664,41847,41422,17576,24859,5022,15693",0.993421052631579,0.9927007299270073,1.0
tcga.R-BRCA,6,PC,0.45,"16360,42405,55768,52687,50592,27437,14004,39126,39355,49524,35425,40889,52224,30342,38209,39450,36660,26768,20453,37663,53130,29278,48627,23361,14007,46214,45843,30124,35816,37692,53025,39384,51436,39622,54724,38568,46662,41095,35621,49475,50053,17997,38126,35437,32798,43915,26817,25298,47754,32814,45162,17215,30758,56367,47202,48302,45340,29702,12332,44106,34260,30967,45669,42663,33848,39715,29203,46115,33079,39618,15135,31819,25400,28577,55967,24799,16773,30764,28404,31548,15830,15140,20782,28429,32820,35216,48199,26974,35245,32150,49933,41927,37664,41847,41422,17576,24859,5022,15693",0.9868421052631579,0.9927007299270073,0.9333333333333333
