DATASET,fold,AM,alpha,features,accuracy,sensitivity,specificity
MNIST.py,6,DC,0.3,,,,
MNIST.py,6,DC,0.35,"183,625,550,594,316,605,287,652,150,651,566,593,188,565,650,568",0.96,0.9365079365079365,0.9838709677419355
MNIST.py,6,DC,0.4,"183,625,550,491,291,594,316,605,287,652,150,651,566,159,593,188,565,127,650,568",0.976,0.9841269841269841,0.967741935483871
MNIST.py,6,DC,0.45,"183,625,550,491,291,594,316,605,287,652,150,651,566,159,593,188,565,127,650,568",0.96,0.9523809523809523,0.967741935483871
MNIST.py,6,DC,0.5,"183,151,625,550,491,291,594,158,316,187,605,287,652,150,651,604,566,159,317,432,593,188,579,565,711,127,650,568",0.968,0.9523809523809523,0.9838709677419355
MNIST.py,6,DC,0.55,"182,183,156,157,596,151,625,178,550,491,291,594,577,158,316,522,187,622,605,402,597,287,652,150,651,261,431,604,566,322,159,606,317,432,593,188,579,565,126,711,177,127,650,568",0.968,0.9523809523809523,0.9838709677419355
MNIST.py,6,DC,0.6,"182,183,156,157,596,151,625,178,550,491,291,594,577,158,316,522,187,622,605,402,597,287,652,150,651,261,431,604,566,322,159,606,317,432,593,188,579,565,126,711,177,127,650,568",0.976,0.9682539682539683,0.9838709677419355
MNIST.py,6,DC,0.65,"377,182,183,181,156,404,624,375,157,596,151,625,178,550,491,291,594,577,158,316,522,187,622,605,402,597,287,626,652,150,651,355,261,431,604,566,322,159,606,317,432,593,188,579,565,126,711,125,177,127,654,650,568",0.976,0.9523809523809523,1.0
MNIST.py,6,DC,0.7,"377,182,183,181,156,404,624,264,375,157,596,151,625,178,550,491,186,291,594,577,158,316,522,187,622,605,402,597,287,626,652,150,651,355,261,431,604,566,322,159,606,317,432,593,188,579,565,126,711,125,177,127,654,650,568",0.976,0.9523809523809523,1.0
MNIST.py,6,DC,0.75,"377,182,183,181,153,184,156,404,624,264,375,157,596,151,625,178,550,491,186,291,523,594,577,158,316,522,187,622,605,402,597,287,626,652,150,651,355,261,431,604,566,322,159,606,317,432,593,188,579,565,237,126,711,125,177,127,654,650,568",0.976,0.9523809523809523,1.0
MNIST.py,6,DC,0.8,"377,182,183,181,153,184,156,404,624,264,375,157,596,151,625,178,550,491,186,291,523,594,577,158,316,522,187,622,605,402,597,287,626,652,150,651,355,261,431,604,566,322,159,606,317,432,593,188,579,565,237,126,711,125,177,127,654,650,568",0.984,0.9682539682539683,1.0
MNIST.py,6,DC,0.85,"377,182,183,181,153,184,156,404,624,264,375,157,596,151,625,178,550,491,186,291,523,594,577,158,316,522,187,622,605,402,597,287,626,652,150,651,355,261,431,604,566,322,159,606,317,432,593,188,579,565,237,126,711,125,177,127,654,650,568",0.984,0.9682539682539683,1.0
MNIST.py,6,DC,0.9,"377,182,183,181,153,184,156,404,624,264,375,157,596,151,625,178,550,491,186,291,523,594,577,158,316,522,187,622,605,402,597,287,626,652,150,651,355,261,431,604,566,322,159,606,317,432,593,188,579,565,237,126,711,125,177,127,654,650,568",0.984,0.9682539682539683,1.0
MNIST.py,5,pearson_correlation,0.1,,,,
MNIST.py,5,pearson_correlation,0.15,,,,
MNIST.py,5,pearson_correlation,0.2,,,,
MNIST.py,5,pearson_correlation,0.25,,,,
MNIST.py,5,pearson_correlation,0.3,"518,263,260,287,517,382,371",0.944,0.9365079365079365,0.9516129032258065
MNIST.py,5,pearson_correlation,0.35,"518,263,316,260,315,266,287,517,463,714,286,382,239,371,330",0.96,0.9523809523809523,0.967741935483871
MNIST.py,5,pearson_correlation,0.4,"518,263,316,260,315,266,287,517,463,714,286,382,239,371,330",0.968,0.9682539682539683,0.967741935483871
MNIST.py,5,pearson_correlation,0.45,"518,263,316,260,315,266,287,517,463,714,286,267,738,382,239,371,300,330",0.96,0.9523809523809523,0.967741935483871
MNIST.py,5,pearson_correlation,0.5,"518,263,316,260,315,266,287,517,259,463,714,286,267,738,382,239,371,300,330",0.96,0.9523809523809523,0.967741935483871
MNIST.py,5,pearson_correlation,0.55,"518,290,263,316,260,315,266,287,517,259,463,714,286,267,738,382,239,371,300,330",0.96,0.9523809523809523,0.967741935483871
MNIST.py,5,pearson_correlation,0.6,"518,290,263,316,260,315,266,287,355,517,259,463,714,286,267,738,739,382,239,371,717,300,330",0.96,0.9523809523809523,0.967741935483871
MNIST.py,5,pearson_correlation,0.65,"264,518,290,263,316,262,490,261,260,315,266,287,546,355,517,464,259,463,344,714,328,286,709,327,267,738,739,354,285,382,239,742,293,313,371,717,300,370,741,330",0.968,0.9682539682539683,0.967741935483871
MNIST.py,5,pearson_correlation,0.7,"264,518,288,290,491,263,316,291,262,490,261,260,315,266,317,287,546,355,517,292,464,259,356,463,344,714,328,286,715,709,318,327,267,489,342,738,258,236,739,354,712,285,382,239,742,737,293,313,744,257,516,371,717,301,300,370,284,741,330,384",0.976,0.9841269841269841,0.967741935483871
MNIST.py,5,pearson_correlation,0.75,"264,518,288,290,491,263,316,291,262,490,261,260,315,266,317,287,546,355,517,292,464,259,356,463,344,714,328,286,715,709,318,327,267,489,342,738,258,236,739,354,712,285,382,239,742,737,293,313,744,257,516,371,717,301,300,370,284,741,330,384",0.968,0.9682539682539683,0.967741935483871
MNIST.py,5,pearson_correlation,0.8,"264,518,288,290,491,263,316,291,262,490,261,260,315,266,317,287,546,355,517,292,464,259,356,463,344,714,328,286,715,709,318,327,267,489,342,738,258,236,739,354,712,285,382,239,742,737,293,313,744,257,516,371,717,301,300,370,284,741,330,384",0.976,0.9682539682539683,0.9838709677419355
MNIST.py,5,pearson_correlation,0.85,"264,518,288,290,491,263,316,291,262,490,261,260,315,266,317,287,546,355,517,292,464,259,356,463,344,714,328,286,715,709,318,327,267,489,342,738,258,236,739,354,712,285,382,239,742,737,293,313,744,257,516,371,717,301,300,370,284,741,330,384",0.968,0.9682539682539683,0.967741935483871
MNIST.py,5,pearson_correlation,0.9,"264,518,288,290,491,263,316,291,262,490,261,260,315,266,317,287,546,355,517,292,464,259,356,463,344,714,328,286,715,709,318,327,267,489,342,738,258,236,739,354,712,285,382,239,742,737,293,313,744,257,516,371,717,301,300,370,284,741,330,384",0.984,0.9841269841269841,0.9838709677419355
MNIST.py,3,TR,0.1,"518,517,490,710,711,289,287,288,290,491,519,262,263,712,715,739,264,713,714,738,261,516,489,716,545,315,546,265,709,260,291,286,259,740,741,742,743,316,708,356,737,314,357,544,266,744,317,258,463,329,237,238,355,717,328,488,736,330,462,313,342,285,547,239,292,236,707,235,341,343,232,231,492,234,257,464,735,515,312,302,745,706,340,233,358,303,384,284,327,318,370,383,240,275,734,301,682,230,267,354",0.936,0.967741935483871,0.9047619047619048
MNIST.py,3,TR,0.15,"518,517,490,710,711,289,287,288,290,491,519,262,263,712,715,739,264,713,714,738,261,516,489,716,545,315,546,265,709,260,291,286,259,740,741,742,743,316,708,356,737,314,357,544,266,744,317,258,463,329,237,238,355,717,328,488,736,330,462,313,342,285,547,239,292,236,707,235,341,343,232,231,492,234,257,464,735,515,312,302,745,706,340,233,358,303,384,284,327,318,370,383,240,275,734,301,682,230,267,354",0.944,0.967741935483871,0.9206349206349206
MNIST.py,3,TR,0.2,"518,517,490,710,711,289,287,288,290,491,519,262,263,712,715,739,264,713,714,738,261,516,489,716,545,315,546,265,709,260,291,286,259,740,741,742,743,316,708,356,737,314,357,544,266,744,317,258,463,329,237,238,355,717,328,488,736,330,462,313,342,285,547,239,292,236,707,235,341,343,232,231,492,234,257,464,735,515,312,302,745,706,340,233,358,303,384,284,327,318,370,383,240,275,734,301,682,230,267,354",0.936,0.967741935483871,0.9047619047619048
MNIST.py,3,TR,0.25,"518,517,490,710,711,289,287,288,290,491,519,262,263,712,715,739,264,713,714,738,261,516,489,716,545,315,546,265,709,260,291,286,259,740,741,742,743,316,708,356,737,314,357,544,266,744,317,258,463,329,237,238,355,717,328,488,736,330,462,313,342,285,547,239,292,236,707,235,341,343,232,231,492,234,257,464,735,515,312,302,745,706,340,233,358,303,384,284,327,318,370,383,240,275,734,301,682,230,267,354",0.936,0.967741935483871,0.9047619047619048
MNIST.py,3,TR,0.3,"518,517,490,710,711,289,287,288,290,491,519,262,263,712,715,739,264,713,714,738,261,516,489,716,545,315,546,265,709,260,291,286,259,740,741,742,743,316,708,356,737,314,357,544,266,744,317,258,463,329,237,238,355,717,328,488,736,330,462,313,342,285,547,239,292,236,707,235,341,343,232,231,492,234,257,464,735,515,312,302,745,706,340,233,358,303,384,284,327,318,370,383,240,275,734,301,682,230,267,354",0.936,0.967741935483871,0.9047619047619048
MNIST.py,3,TR,0.35,"518,517,490,710,711,289,287,288,290,491,519,262,263,712,715,739,264,713,714,738,261,516,489,716,545,315,546,265,709,260,291,286,259,740,741,742,743,316,708,356,737,314,357,544,266,744,317,258,463,329,237,238,355,717,328,488,736,330,462,313,342,285,547,239,292,236,707,235,341,343,232,231,492,234,257,464,735,515,312,302,745,706,340,233,358,303,384,284,327,318,370,383,240,275,734,301,682,230,267,354",0.936,0.967741935483871,0.9047619047619048
MNIST.py,3,TR,0.4,"518,517,490,710,711,289,287,288,290,491,519,262,263,712,715,739,264,713,714,738,261,516,489,716,545,315,546,265,709,260,291,286,259,740,741,742,743,316,708,356,737,314,357,544,266,744,317,258,463,329,237,238,355,717,328,488,736,330,462,313,342,285,547,239,292,236,707,235,341,343,232,231,492,234,257,464,735,515,312,302,745,706,340,233,358,303,384,284,327,318,370,383,240,275,734,301,682,230,267,354",0.936,0.967741935483871,0.9047619047619048
MNIST.py,3,TR,0.45,"518,517,490,710,711,289,287,288,290,491,519,262,263,712,715,739,264,713,714,738,261,516,489,716,545,315,546,265,709,260,291,286,259,740,741,742,743,316,708,356,737,314,357,544,266,744,317,258,463,329,237,238,355,717,328,488,736,330,462,313,342,285,547,239,292,236,707,235,341,343,232,231,492,234,257,464,735,515,312,302,745,706,340,233,358,303,384,284,327,318,370,383,240,275,734,301,682,230,267,354",0.936,0.967741935483871,0.9047619047619048
MNIST.py,3,TR,0.5,"518,517,490,710,711,289,287,288,290,491,519,262,263,712,715,739,264,713,714,738,261,516,489,716,545,315,546,265,709,260,291,286,259,740,741,742,743,316,708,356,737,314,357,544,266,744,317,258,463,329,237,238,355,717,328,488,736,330,462,313,342,285,547,239,292,236,707,235,341,343,232,231,492,234,257,464,735,515,312,302,745,706,340,233,358,303,384,284,327,318,370,383,240,275,734,301,682,230,267,354",0.936,0.967741935483871,0.9047619047619048
MNIST.py,3,TR,0.55,"518,517,490,710,711,289,287,288,290,491,519,262,263,712,715,739,264,713,714,738,261,516,489,716,545,315,546,265,709,260,291,286,259,740,741,742,743,316,708,356,737,314,357,544,266,744,317,258,463,329,237,238,355,717,328,488,736,330,462,313,342,285,547,239,292,236,707,235,341,343,232,231,492,234,257,464,735,515,312,302,745,706,340,233,358,303,384,284,327,318,370,383,240,275,734,301,682,230,267,354",0.936,0.967741935483871,0.9047619047619048
MNIST.py,3,TR,0.6,"518,517,490,710,711,289,287,288,290,491,519,262,263,712,715,739,264,713,714,738,261,516,489,716,545,315,546,265,709,260,291,286,259,740,741,742,743,316,708,356,737,314,357,544,266,744,317,258,463,329,237,238,355,717,328,488,736,330,462,313,342,285,547,239,292,236,707,235,341,343,232,231,492,234,257,464,735,515,312,302,745,706,340,233,358,303,384,284,327,318,370,383,240,275,734,301,682,230,267,354",0.936,0.967741935483871,0.9047619047619048
MNIST.py,3,TR,0.65,"518,517,490,710,711,289,287,288,290,491,519,262,263,712,715,739,264,713,714,738,261,516,489,716,545,315,546,265,709,260,291,286,259,740,741,742,743,316,708,356,737,314,357,544,266,744,317,258,463,329,237,238,355,717,328,488,736,330,462,313,342,285,547,239,292,236,707,235,341,343,232,231,492,234,257,464,735,515,312,302,745,706,340,233,358,303,384,284,327,318,370,383,240,275,734,301,682,230,267,354",0.936,0.967741935483871,0.9047619047619048
MNIST.py,3,TR,0.7,"518,517,490,710,711,289,287,288,290,491,519,262,263,712,715,739,264,713,714,738,261,516,489,716,545,315,546,265,709,260,291,286,259,740,741,742,743,316,708,356,737,314,357,544,266,744,317,258,463,329,237,238,355,717,328,488,736,330,462,313,342,285,547,239,292,236,707,235,341,343,232,231,492,234,257,464,735,515,312,302,745,706,340,233,358,303,384,284,327,318,370,383,240,275,734,301,682,230,267,354",0.936,0.967741935483871,0.9047619047619048
MNIST.py,3,TR,0.75,"518,517,490,710,711,289,287,288,290,491,519,262,263,712,715,739,264,713,714,738,261,516,489,716,545,315,546,265,709,260,291,286,259,740,741,742,743,316,708,356,737,314,357,544,266,744,317,258,463,329,237,238,355,717,328,488,736,330,462,313,342,285,547,239,292,236,707,235,341,343,232,231,492,234,257,464,735,515,312,302,745,706,340,233,358,303,384,284,327,318,370,383,240,275,734,301,682,230,267,354",0.936,0.967741935483871,0.9047619047619048
MNIST.py,3,TR,0.8,"518,517,490,710,711,289,287,288,290,491,519,262,263,712,715,739,264,713,714,738,261,516,489,716,545,315,546,265,709,260,291,286,259,740,741,742,743,316,708,356,737,314,357,544,266,744,317,258,463,329,237,238,355,717,328,488,736,330,462,313,342,285,547,239,292,236,707,235,341,343,232,231,492,234,257,464,735,515,312,302,745,706,340,233,358,303,384,284,327,318,370,383,240,275,734,301,682,230,267,354",0.936,0.967741935483871,0.9047619047619048
MNIST.py,3,TR,0.85,"518,517,490,710,711,289,287,288,290,491,519,262,263,712,715,739,264,713,714,738,261,516,489,716,545,315,546,265,709,260,291,286,259,740,741,742,743,316,708,356,737,314,357,544,266,744,317,258,463,329,237,238,355,717,328,488,736,330,462,313,342,285,547,239,292,236,707,235,341,343,232,231,492,234,257,464,735,515,312,302,745,706,340,233,358,303,384,284,327,318,370,383,240,275,734,301,682,230,267,354",0.936,0.967741935483871,0.9047619047619048
MNIST.py,3,TR,0.9,"518,517,490,710,711,289,287,288,290,491,519,262,263,712,715,739,264,713,714,738,261,516,489,716,545,315,546,265,709,260,291,286,259,740,741,742,743,316,708,356,737,314,357,544,266,744,317,258,463,329,237,238,355,717,328,488,736,330,462,313,342,285,547,239,292,236,707,235,341,343,232,231,492,234,257,464,735,515,312,302,745,706,340,233,358,303,384,284,327,318,370,383,240,275,734,301,682,230,267,354",0.936,0.967741935483871,0.9047619047619048
MNIST.py,2,MMD,0.1,,,,
MNIST.py,2,MMD,0.15,,,,
MNIST.py,2,MMD,0.2,,,,
MNIST.py,2,MMD,0.25,"378,183,404,181,595,551,261,432",0.952,0.9354838709677419,0.9682539682539683
MNIST.py,2,MMD,0.3,"378,183,404,181,595,551,261,432",0.944,0.9193548387096774,0.9682539682539683
MNIST.py,2,MMD,0.35,"378,183,404,181,595,551,261,124,432",0.952,0.9354838709677419,0.9682539682539683
MNIST.py,2,MMD,0.4,"378,183,404,181,595,178,551,261,124,432",0.952,0.9354838709677419,0.9682539682539683
MNIST.py,2,MMD,0.45,"378,183,404,181,595,178,551,261,124,432",0.976,0.967741935483871,0.9841269841269841
MNIST.py,2,MMD,0.5,"378,183,404,181,595,178,551,261,124,432",0.968,0.967741935483871,0.9682539682539683
MNIST.py,2,MMD,0.55,"378,183,404,181,595,349,178,551,261,124,432",0.952,0.9354838709677419,0.9682539682539683
MNIST.py,2,MMD,0.6,"378,183,404,181,595,349,178,551,261,124,432",0.968,0.9516129032258065,0.9841269841269841
MNIST.py,2,MMD,0.65,"378,183,404,181,595,349,178,551,261,124,432",0.968,0.9516129032258065,0.9841269841269841
MNIST.py,2,MMD,0.7,"378,183,404,181,595,349,178,551,261,124,432",0.96,0.9516129032258065,0.9682539682539683
MNIST.py,2,MMD,0.75,"156,378,183,404,181,595,349,178,551,261,124,432",0.968,0.9516129032258065,0.9841269841269841
MNIST.py,2,MMD,0.8,"156,378,183,404,181,595,349,178,551,261,124,432",0.976,0.967741935483871,0.9841269841269841
MNIST.py,2,MMD,0.85,"377,156,378,183,404,181,185,151,518,403,595,180,375,289,349,624,178,490,186,578,263,551,594,264,523,287,261,550,546,125,538,124,710,379,431,593,432,374,605,188",0.976,0.9516129032258065,1.0
MNIST.py,2,MMD,0.9,"377,156,378,183,404,181,185,151,518,403,595,180,375,289,349,624,178,490,186,567,158,578,263,551,594,264,288,568,517,523,287,491,261,550,546,125,538,124,710,379,431,593,432,374,605,537,188",0.976,0.9516129032258065,1.0
MNIST.py,7,pearson_correlation,0.1,,,,
MNIST.py,7,pearson_correlation,0.15,,,,
MNIST.py,7,pearson_correlation,0.2,,,,
MNIST.py,7,pearson_correlation,0.25,,,,
MNIST.py,7,pearson_correlation,0.3,,,,
MNIST.py,7,pearson_correlation,0.35,,,,
MNIST.py,7,pearson_correlation,0.4,,,,
MNIST.py,7,pearson_correlation,0.45,,,,
MNIST.py,7,pearson_correlation,0.5,,,,
MNIST.py,7,pearson_correlation,0.55,,,,
MNIST.py,7,pearson_correlation,0.6,,,,
MNIST.py,7,pearson_correlation,0.65,,,,
MNIST.py,7,pearson_correlation,0.7,"518,490,491,266,517,546,316,716,343,258,326,268,708,313,572,341",0.92,0.9523809523809523,0.8870967741935484
MNIST.py,7,pearson_correlation,0.75,"518,490,491,266,517,546,316,383,716,343,258,326,268,708,313,572,341",0.92,0.9365079365079365,0.9032258064516129
MNIST.py,7,pearson_correlation,0.8,"518,263,490,491,262,266,517,546,287,316,260,383,382,286,709,314,716,343,285,258,326,268,708,313,717,488,572,341,330,234",0.904,0.9047619047619048,0.9032258064516129
