DATASET,AM,alpha,n_1,d,normalise,kernel,k0,fdr,features
brca_cds,MMD,0.25,0.3,100,0,gaussian,1,1.0,"11678,8201,1442,8245,9189,14597,7590,8236,10657,2581,2165,8528,10666,8407,10227,2804,11395,8071,16480,17497,7036,8786,14823,17404,12154,10247,15238,9259,16378,795,2220,15037,2775,940,1404,6074,5824,2725,10691,3339,4488,1294,8132,2535,15156,2130,9498,2903,3278,14400,12370,9203,1762,1940,1372,6456,12744,6370,7688,9022,2636,8632,8858,288,9907,10723,4654,14842,4718,11458,3896,6652,13228,6211,9264,6707,4516,2704,10216,3970,18220,5170,11540"
brca_cds,MMD,0.3,0.3,100,0,gaussian,1,1.0,"11678,8201,1442,8245,9189,14597,7590,8236,10657,2581,2165,8528,10666,8407,10227,2804,11395,8071,16480,17497,7036,8786,14823,17404,12154,10247,15238,9259,16378,795,2220,15037,2775,940,1404,6074,5824,2725,10691,3339,4488,1294,8132,2535,15156,2130,9498,2903,3278,14400,12370,9203,1762,1940,1372,6456,12744,6370,7688,9022,2636,8632,8858,288,9907,10723,4654,14842,4718,11458,3896,6652,13228,6211,9264,6707,4516,2704,10216,3970,18220,5170,11540"
brca_cds,MMD,0.35,0.3,100,0,gaussian,1,1.0,"11678,8201,1442,8245,9189,14597,7590,8236,10657,2581,2165,8528,10666,8407,10227,2804,11395,8071,16480,17497,7036,8786,14823,17404,12154,10247,15238,9259,16378,795,2220,15037,2775,940,1404,6074,5824,2725,10691,3339,4488,1294,8132,2535,15156,2130,9498,2903,3278,14400,12370,9203,1762,1940,1372,6456,12744,6370,7688,9022,2636,8632,8858,288,9907,10723,4654,14842,4718,11458,3896,6652,13228,6211,9264,6707,4516,2704,10216,3970,18220,5170,11540"
brca_cds,MMD,0.4,0.3,100,0,gaussian,1,1.0,"11678,8201,1442,8245,9189,14597,7590,8236,10657,2581,2165,8528,10666,8407,10227,2804,11395,8071,16480,17497,7036,8786,14823,17404,12154,10247,15238,9259,16378,795,2220,15037,2775,940,1404,6074,5824,2725,10691,3339,4488,1294,8132,2535,15156,2130,9498,2903,3278,14400,12370,9203,1762,1940,1372,6456,12744,6370,7688,9022,2636,8632,8858,288,9907,10723,4654,14842,4718,11458,3896,6652,13228,6211,9264,6707,4516,2704,10216,3970,18220,5170,11540"
brca_cds,MMD,0.45,0.3,100,0,gaussian,1,1.0,"11678,8201,1442,8245,9189,14597,7590,8236,10657,2581,2165,8528,10666,8407,10227,2804,11395,8071,16480,17497,7036,8786,14823,17404,12154,10247,15238,9259,16378,795,2220,15037,2775,940,1404,6074,5824,2725,10691,3339,4488,1294,8132,2535,15156,2130,9498,2903,3278,14400,12370,9203,1762,1940,1372,6456,12744,6370,7688,9022,2636,8632,8858,288,9907,10723,4654,14842,4718,11458,3896,6652,13228,6211,9264,6707,4516,2704,10216,3970,18220,5170,11540"
brca_cds,MMD,0.5,0.3,100,0,gaussian,1,1.0,"11678,8201,1442,8245,9189,14597,7590,8236,10657,2581,2165,8528,10666,8407,10227,2804,11395,8071,16480,17497,7036,8786,14823,17404,12154,10247,15238,9259,16378,795,2220,15037,2775,940,1404,6074,5824,2725,10691,3339,4488,1294,8132,2535,15156,2130,9498,2903,3278,14400,12370,9203,1762,1940,1372,6456,12744,6370,7688,9022,2636,8632,8858,288,9907,10723,4654,14842,4718,11458,3896,6652,13228,6211,9264,6707,4516,2704,10216,3970,18220,5170,11540"
brca_cds,MMD,0.55,0.3,100,0,gaussian,1,1.0,"11678,8201,1442,8245,9189,14597,7590,8236,10657,2581,2165,8528,10666,8407,10227,2804,11395,8071,16480,17497,7036,8786,14823,17404,12154,10247,15238,9259,16378,795,2220,15037,2775,940,1404,6074,5824,2725,10691,3339,4488,1294,8132,2535,15156,2130,9498,2903,3278,14400,12370,9203,1762,1940,1372,6456,12744,6370,7688,9022,2636,8632,8858,288,9907,10723,4654,14842,4718,11458,3896,6652,13228,6211,9264,6707,4516,2704,10216,3970,18220,5170,11540"
brca_cds,MMD,0.6,0.3,100,0,gaussian,1,1.0,"11678,8201,1442,8245,9189,14597,7590,8236,10657,2581,2165,8528,10666,8407,10227,2804,11395,8071,16480,17497,7036,8786,14823,17404,12154,10247,15238,9259,16378,795,2220,15037,2775,940,1404,6074,5824,2725,10691,3339,4488,1294,8132,2535,15156,2130,9498,2903,3278,14400,12370,9203,1762,1940,1372,6456,12744,6370,7688,9022,2636,8632,8858,288,9907,10723,4654,14842,4718,11458,3896,6652,13228,6211,9264,6707,4516,2704,10216,3970,18220,5170,11540"
brca_cds,MMD,0.65,0.3,100,0,gaussian,1,1.0,"11678,8201,1442,8245,9189,14597,7590,8236,10657,2581,2165,8528,10666,8407,10227,2804,11395,8071,16480,17497,7036,8786,14823,17404,12154,10247,15238,9259,16378,795,2220,15037,2775,940,1404,6074,5824,2725,10691,3339,4488,1294,8132,2535,15156,2130,9498,2903,3278,14400,12370,9203,1762,1940,1372,6456,12744,6370,7688,9022,2636,8632,8858,288,9907,10723,4654,14842,4718,11458,3896,6652,13228,6211,9264,6707,4516,2704,10216,3970,18220,5170,11540"
brca_cds,MMD,0.7,0.3,100,0,gaussian,1,1.0,"11678,8201,1442,8245,9189,14597,7590,8236,10657,2581,2165,8528,10666,8407,10227,2804,11395,8071,16480,17497,7036,8786,14823,17404,12154,10247,15238,9259,16378,795,2220,15037,2775,940,1404,6074,5824,2725,10691,3339,4488,1294,8132,2535,15156,2130,9498,2903,3278,14400,12370,9203,1762,1940,1372,6456,12744,6370,7688,9022,2636,8632,8858,288,9907,10723,4654,14842,4718,11458,3896,6652,13228,6211,9264,6707,4516,2704,10216,3970,18220,5170,11540"
