AM,feature,wj
MMD,10227,0.025886333720150922
MMD,2804,0.0184956536469425
MMD,11395,0.009368429702433512
MMD,8071,0.00428947196124374
MMD,16480,0.00024954622376871516
MMD,17497,0.018300997508727768
MMD,7036,0.004821716097431039
MMD,8786,0.0071887039881409764
MMD,14823,0.004573509008982846
MMD,17404,0.008293675348060081
MMD,12154,0.024119338270240154
MMD,10247,0.014928537338802728
MMD,14865,-0.0017676461307564173
MMD,9918,-0.000525923778995907
MMD,15238,0.01658316077664923
MMD,9259,0.016196650209017394
MMD,16378,0.009109206857991492
MMD,795,0.023465132379897002
MMD,9997,-0.0038926052515240728
MMD,2220,0.008421853990609629
MMD,15037,0.004406162510263101
MMD,2775,0.024933060235534765
MMD,940,0.03179600566953805
MMD,1404,0.0016415976958273348
MMD,6074,0.05634756974113264
MMD,5824,0.011137897472441871
MMD,2725,0.027696217599437967
MMD,10691,0.024251913409011783
MMD,3339,0.012371545183073429
MMD,4488,0.01882541286113104
MMD,1294,0.017346053118641458
MMD,18215,-0.0018066253498970064
MMD,8132,0.018408857682234714
MMD,2535,0.009335860613224
MMD,15156,0.002222251691283317
MMD,2130,0.00574351513933774
MMD,9498,0.01713138627237032
MMD,2903,0.01725148371273094
MMD,3278,0.023916071887285784
MMD,14400,0.016283936721152192
MMD,12370,0.0020928552683757706
MMD,9203,0.005048597857496506
MMD,1762,0.003386573745528698
MMD,16249,-0.0031067397646876715
MMD,4746,-0.0026335718999681568
MMD,1940,0.01684893854743602
MMD,1372,0.03221736460024033
MMD,6456,0.023509585356217277
MMD,13654,-0.007474931461489642
MMD,12744,0.002976818970459205
MMD,6370,0.019185594838680764
MMD,5710,-0.0010951659976600747
MMD,4853,-0.004570551589764216
MMD,7688,0.007265303360909137
MMD,9022,0.01682793183211434
MMD,2636,0.004047230161806248
MMD,8632,0.051115660109865346
MMD,8858,0.023429153056642782
MMD,288,0.022464640785936685
MMD,9303,-0.0013879489581157811
MMD,9907,0.007681956692569436
MMD,10723,0.02211398565441197
MMD,4654,0.017586958529713537
MMD,14842,0.0034029239348430385
MMD,4718,0.0013525362847395805
MMD,11458,0.005380152087790746
MMD,3896,0.010157087206859816
MMD,6652,0.006155032106714364
MMD,13228,0.024923738578104704
MMD,6211,0.006755901139796516
MMD,9264,0.017558187733608788
MMD,6707,0.0243712740594223
MMD,4516,0.029956112854094885
MMD,2704,0.016947535011878234
MMD,9240,-0.00036415261587913195
MMD,10216,0.018911650392170465
MMD,2214,-0.004336621654271455
MMD,3970,0.009312121002877705
MMD,18220,0.008622930658694739
MMD,5170,0.0010974165750290976
MMD,11540,0.015089805968408865
HSIC,11208,4.455987980821533
HSIC,9535,4.156034233015475
HSIC,8923,0.993261048482168
HSIC,8513,6.003333162867193
HSIC,9484,2.389577826704226
HSIC,16001,1.7398781872348081
HSIC,7033,3.056563733098301
HSIC,11989,1.4922950912095985
HSIC,16661,4.494930504381728
HSIC,14457,4.876810778048423
HSIC,7317,1.7904870777762767
HSIC,13654,3.4426421171440325
HSIC,3535,1.3890912780946678
HSIC,6434,1.9476608705138005
HSIC,5396,4.903487414449103
HSIC,14419,1.2271732599137408
HSIC,10680,2.065848028923142
HSIC,4853,0.6646534565566071
HSIC,11175,2.237953260521863
HSIC,1062,1.614357870273011
HSIC,10318,7.6214743013918
HSIC,9301,8.399605712024709
HSIC,6568,4.760295534660543
HSIC,2551,1.1939982266252969
HSIC,15534,3.6303691476440463
HSIC,2547,5.1367000353914705
HSIC,7192,3.9937389954797027
HSIC,9482,2.6541541214282915
HSIC,4458,4.595663312068723
HSIC,17942,5.301310492450568
HSIC,4121,3.864859922396647
HSIC,10822,9.237232614475467
HSIC,14219,2.5902866643633615
HSIC,15799,5.295321983109716
HSIC,7370,-1.4202244466271736
HSIC,15312,0.2793512228432746
HSIC,12162,1.810067826482964
HSIC,11189,0.03749817996265392
HSIC,9997,0.6062364186776108
HSIC,4506,2.4958467654147967
HSIC,14182,0.5545767319006245
HSIC,1978,1.6558032961769982
HSIC,11148,2.397816062192078
HSIC,9180,1.3979542612486853
HSIC,6044,1.4861498994718545
HSIC,8965,4.352630204224113
HSIC,14831,-1.2746841220366605
HSIC,11628,3.1102280713615755
HSIC,11725,7.3926173107332716
HSIC,6540,1.9416659494564783
HSIC,3166,1.788251089657365
HSIC,6807,0.9927107902615262
HSIC,14060,8.013673215959102
HSIC,18215,0.6118122606619636
HSIC,8366,-0.044411847364642654
HSIC,14333,2.251704104451562
HSIC,9453,7.305769177179968
HSIC,1401,2.63440347926354
HSIC,924,2.628875711152318
